2025-04-21 16:23:20 - INFO - ========================================================================================================================================================================================================
2025-04-21 16:23:20 - INFO - Executing LLAMBO (discriminative | top_pct: None) to tune RandomForest on digits with seed 1 / 1...
2025-04-21 16:23:20 - INFO - Task context: {'model': 'RandomForest', 'task': 'classification', 'tot_feats': 64, 'cat_feats': 0, 'num_feats': 64, 'n_classes': 10, 'metric': 'accuracy', 'lower_is_better': False, 'num_samples': 1437, 'hyperparameter_constraints': {'max_depth': ['int', 'linear', [1, 15]], 'max_features': ['float', 'logit', [0.01, 0.99]], 'min_impurity_decrease': ['float', 'linear', [0.0, 0.5]], 'min_samples_leaf': ['float', 'logit', [0.01, 0.49]], 'min_samples_split': ['float', 'logit', [0.01, 0.99]], 'min_weight_fraction_leaf': ['float', 'logit', [0.01, 0.49]]}}
2025-04-21 16:35:46 - INFO - [LLAMBO] Query cost: 0.8419
2025-04-21 16:35:46 - INFO - [LLAMBO] Query time: 740.6994
2025-04-21 16:35:46 - INFO -     max_depth  max_features  min_impurity_decrease  min_samples_leaf  min_samples_split  min_weight_fraction_leaf     score  generalization_score
0           9      0.267459               0.301382          0.083360           0.070058                  0.123506  0.105776              0.080556
1           7      0.602079               0.481831          0.044472           0.380184                  0.078331  0.105776              0.080556
2           9      0.703320               0.035518          0.014037           0.010974                  0.255441  0.650663              0.597222
3          12      0.544787               0.489309          0.224251           0.083357                  0.208568  0.105776              0.080556
4           3      0.189256               0.071677          0.395071           0.110007                  0.050218  0.105776              0.080556
5          15      0.990000               0.000000          0.010000           0.010000                  0.490000  0.439813              0.388889
6          15      0.990000               0.000000          0.010000           0.010000                  0.010000  0.884475              0.875000
7          15      0.760000               0.000000          0.010000           0.010000                  0.080000  0.793977              0.725000
8          15      0.920000               0.000000          0.010000           0.010000                  0.010000  0.888659              0.877778
9          15      0.950000               0.000000          0.020000           0.020000                  0.020000  0.856627              0.833333
10         15      0.660000               0.000000          0.010000           0.010000                  0.190000  0.635361              0.630556
11         15      0.980000               0.000000          0.010000           0.010000                  0.010000  0.887258              0.869444
12         15      0.900000               0.000000          0.010000           0.010000                  0.010000  0.891427              0.872222
13         15      0.960000               0.000000          0.010000           0.010000                  0.010000  0.889334              0.869444
14         15      0.100000               0.000000          0.010000           0.010000                  0.010000  0.897713              0.888889
15         11      0.680000               0.000000          0.030000           0.200000                  0.040000  0.661803              0.672222
16          9      0.620000               0.000000          0.110000           0.750000                  0.160000  0.105776              0.080556
17         15      0.110000               0.000000          0.010000           0.010000                  0.010000  0.917199              0.900000
18         15      0.010000               0.000000          0.010000           0.010000                  0.010000  0.766882              0.761111
19         15      0.240000               0.000000          0.010000           0.010000                  0.010000  0.899797              0.900000
20          7      0.990000               0.000000          0.010000           0.010000                  0.010000  0.879605              0.863889
21         15      0.990000               0.000000          0.010000           0.990000                  0.010000  0.105776              0.080556
22          8      0.800000               0.000000          0.010000           0.010000                  0.010000  0.884480              0.877778
23          8      0.390000               0.000000          0.030000           0.170000                  0.170000  0.737648              0.680556
24         12      0.220000               0.000000          0.010000           0.010000                  0.010000  0.899804              0.925000
25         15      0.920000               0.000000          0.020000           0.180000                  0.490000  0.427270              0.388889
26          9      0.510000               0.000000          0.010000           0.020000                  0.110000  0.759916              0.725000
27         15      0.070000               0.000000          0.010000           0.010000                  0.010000  0.899797              0.880556
28         10      0.010000               0.000000          0.010000           0.010000                  0.010000  0.772467              0.761111
29         15      0.030000               0.000000          0.010000           0.010000                  0.010000  0.766882              0.761111
2025-04-21 16:35:46 - INFO - [LLAMBO] RUN COMPLETE, saved results to /zfsauton2/home/acapone2/LLAMBO/exp_bayesmark/results_discriminative/digits/RandomForest...
2025-04-21 16:35:46 - INFO - ========================================================================================================================================================================================================
2025-04-21 16:35:46 - INFO - [LLAMBO] 1 evaluation runs complete! Total cost: $0.8419
