max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556
15,0.99,0.0,0.01,0.01,0.49,0.4398132017034456,0.3888888888888889
15,0.99,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
15,0.76,0.0,0.01,0.01,0.08,0.7939774487030584,0.725
15,0.92,0.0,0.01,0.01,0.01,0.8886590205187768,0.8777777777777778
15,0.95,0.0,0.02,0.02,0.02,0.8566274680603948,0.8333333333333334
15,0.66,0.0,0.01,0.01,0.19,0.635361014324429,0.6305555555555555
15,0.98,0.0,0.01,0.01,0.01,0.8872580332946187,0.8694444444444445
15,0.9,0.0,0.01,0.01,0.01,0.8914271196283392,0.8722222222222222
15,0.96,0.0,0.01,0.01,0.01,0.8893341076267905,0.8694444444444445
15,0.1,0.0,0.01,0.01,0.01,0.8977134146341463,0.8888888888888888
11,0.68,0.0,0.03,0.2,0.04,0.6618031358885018,0.6722222222222223
9,0.62,0.0,0.11,0.75,0.16,0.10577574525745259,0.08055555555555556
15,0.11,0.0,0.01,0.01,0.01,0.9171989934185056,0.9
15,0.01,0.0,0.01,0.01,0.01,0.7668820170344561,0.7611111111111111
15,0.24,0.0,0.01,0.01,0.01,0.8997967479674797,0.9
7,0.99,0.0,0.01,0.01,0.01,0.8796046264034068,0.8638888888888889
15,0.99,0.0,0.01,0.99,0.01,0.10577574525745259,0.08055555555555556
8,0.8,0.0,0.01,0.01,0.01,0.8844802555168408,0.8777777777777778
8,0.39,0.0,0.03,0.17,0.17,0.7376475996902826,0.6805555555555556
12,0.22,0.0,0.01,0.01,0.01,0.899804006968641,0.925
15,0.92,0.0,0.02,0.18,0.49,0.42726964769647696,0.3888888888888889
9,0.51,0.0,0.01,0.02,0.11,0.7599157955865273,0.725
15,0.07,0.0,0.01,0.01,0.01,0.8997967479674797,0.8805555555555555
10,0.01,0.0,0.01,0.01,0.01,0.7724666085946573,0.7611111111111111
15,0.03,0.0,0.01,0.01,0.01,0.7668820170344561,0.7611111111111111
